EpLenMean,EpRewMean,EpThisIter,EpisodesSoFar,TimeElapsed,TimestepsSoFar,ev_tdlam_before,loss_ent,loss_kl,loss_pol_entpen,loss_pol_surr,loss_vf_loss
1000.0,-42.72440293521506,2,292,818.8715097904205,292000,0.10506546497344971,4.5449424,0.0056986324,0.0,-0.012228828,0.11177724
1000.0,-42.61386594714957,2,294,824.4398176670074,294000,0.4203971028327942,4.520345,0.0072100814,0.0,-0.00935766,0.09250635
1000.0,-42.53903423320689,2,296,830.0206997394562,296000,0.876735121011734,4.5159674,0.009417411,0.0,-0.012158208,0.085148774
1000.0,-42.145184138038395,3,299,835.8061530590057,299000,0.4950881600379944,4.532393,0.010084096,0.0,-0.013007861,0.07248854
1000.0,-41.782368527668226,2,301,841.4002039432526,301000,0.2697180509567261,4.522249,0.008978263,0.0,-0.012491453,0.06127389
1000.0,-41.293426039720295,2,303,846.993415594101,303000,0.845069408416748,4.548567,0.014225753,0.0,-0.01053871,0.074738935
1000.0,-41.18299157672658,2,305,852.5133969783783,305000,0.860655352473259,4.5573115,0.010285246,0.0,-0.014036421,0.048097692
1000.0,-41.979685331910844,2,307,858.1393520832062,307000,0.16567766666412354,4.547877,0.0111953905,0.0,-0.011483313,0.09290427
1000.0,-42.001124129835716,2,309,863.684620141983,309000,0.2591473460197449,4.529273,0.009001705,0.0,-0.009427443,0.087613724
1000.0,-42.321475859341916,2,311,869.3292860984802,311000,0.3710278868675232,4.528963,0.016261926,0.0,-0.015440371,0.11730845
1000.0,-42.556293748776,2,313,874.8820555210114,313000,0.49902546405792236,4.5256343,0.015618455,0.0,-0.010386813,0.12060527
1000.0,-42.71754321441374,2,315,880.414591550827,315000,0.5853969752788544,4.5207524,0.014543374,0.0,-0.0072595268,0.09497609
1000.0,-42.38399515374295,2,317,885.8325803279877,317000,0.5163035094738007,4.521707,0.008113425,0.0,-0.014768017,0.1082711
1000.0,-42.550433190114745,2,319,891.424497127533,319000,0.3951758146286011,4.535828,0.008214245,0.0,-0.008915446,0.075825565
1000.0,-42.32227332435782,2,321,896.995698928833,321000,0.244329035282135,4.505517,0.0064836508,0.0,-0.011850204,0.05683339
1000.0,-42.532804453570115,2,323,902.5702452659607,323000,0.1621266007423401,4.487337,0.008406641,0.0,-0.012678159,0.055494305
1000.0,-42.45392310031455,2,325,908.1211514472961,325000,0.5912800431251526,4.4362926,0.018158296,0.0,-0.023536706,0.039390072
1000.0,-42.45682300737431,2,327,913.5477011203766,327000,-0.12143027782440186,4.433458,0.008467787,0.0,-0.010096141,0.066249564
1000.0,-42.33066064440764,2,329,918.9834306240082,329000,0.8906734138727188,4.4116974,0.00610248,0.0,-0.009209284,0.050224014
1000.0,-42.50389575251387,2,331,924.5248754024506,331000,0.828846663236618,4.409631,0.016100438,0.0,-0.018494738,0.06037872
1000.0,-42.18617037076709,2,333,930.0274074077606,333000,0.82673579454422,4.407896,0.00946745,0.0,-0.015043966,0.06857142
1000.0,-41.94653846858092,2,335,935.5407915115356,335000,0.6225092709064484,4.368101,0.011756281,0.0,-0.011509861,0.0783792
1000.0,-42.10015993747236,2,337,941.011518239975,337000,0.7637792974710464,4.3042774,0.013314615,0.0,-0.01571308,0.04115359
1000.0,-42.0175806132227,2,339,946.5206146240234,339000,0.7436225414276123,4.2497425,0.0063104634,0.0,-0.014744486,0.04927312
1000.0,-41.38087830291927,3,342,952.2987103462219,342000,0.8766573369503021,4.237534,0.009652846,0.0,-0.0130443005,0.036051266
1000.0,-41.30943944694939,2,344,957.9139573574066,344000,0.7738448977470398,4.2452307,0.008634592,0.0,-0.011274853,0.06724343
1000.0,-41.38864538246505,2,346,963.5496771335602,346000,0.829222097992897,4.2368565,0.009840157,0.0,-0.015474984,0.052660763
1000.0,-41.3446807771762,2,348,969.067538022995,348000,0.9358794689178467,4.1971684,0.0063353856,0.0,-0.0152573455,0.013632322
1000.0,-41.204699791728835,2,350,974.6228094100952,350000,0.5652343928813934,4.2240534,0.008970557,0.0,-0.008002448,0.05767744
1000.0,-40.941887127370464,2,352,980.2129006385803,352000,0.8942089900374413,4.211944,0.0123358965,0.0,-0.012761676,0.028331239
1000.0,-40.68159122741213,2,354,985.7501218318939,354000,0.7875859141349792,4.1949024,0.009627381,0.0,-0.01792121,0.040770475
1000.0,-40.61273743951879,2,356,991.2551414966583,356000,0.7819020748138428,4.132934,0.0116481455,0.0,-0.014346888,0.06523496
1000.0,-39.97488168406838,2,358,996.8566088676453,358000,0.8918276131153107,4.1564937,0.008206768,0.0,-0.015254102,0.026768452
1000.0,-40.29985795205259,2,360,1002.4005274772644,360000,0.8401176482439041,4.10624,0.008674579,0.0,-0.015526937,0.047442738
1000.0,-40.32422604757879,2,362,1007.9144480228424,362000,0.3957274556159973,4.1442165,0.015834898,0.0,-0.0019694767,0.050248668
1000.0,-40.23123030777729,2,364,1013.4828186035156,364000,0.7123463153839111,4.1354065,0.009025878,0.0,-0.009228144,0.058506306
